idx	headword	label	status	canon	slug	ch	v	url
6	Amalek	Numbers 24:20	OK	tanakh	numbers	24	20	/israelite-research/tanakh/chapter.html?book=numbers&ch=24#v20
7	Amalek (of Esau)	Genesis 36:12	OK	tanakh	genesis	36	12	/israelite-research/tanakh/chapter.html?book=genesis&ch=36#v12
7	Amalek (of Esau)	Exodus 17:8–16	OK	tanakh	exodus	17	8	/israelite-research/tanakh/chapter.html?book=exodus&ch=17#v8
8	Amalekites	Exodus 17:8-16	OK	tanakh	exodus	17	8	/israelite-research/tanakh/chapter.html?book=exodus&ch=17#v8
8	Amalekites	1 Samuel 15:2-3	OK	tanakh	1-samuel	15	2	/israelite-research/tanakh/chapter.html?book=1-samuel&ch=15#v2
9	America	Revelation 18:2–4	FAIL	newtestament	revelation	18	2	None
9	America	Jeremiah 50:33–34	OK	tanakh	jeremiah	50	33	/israelite-research/tanakh/chapter.html?book=jeremiah&ch=50#v33
9	America	Deuteronomy 28:68	OK	tanakh	deuteronomy	28	68	/israelite-research/tanakh/chapter.html?book=deuteronomy&ch=28#v68
10	America (Edomite Extension)	Deuteronomy 28:68	OK	tanakh	deuteronomy	28	68	/israelite-research/tanakh/chapter.html?book=deuteronomy&ch=28#v68
10	America (Edomite Extension)	Jeremiah 50:33–34	OK	tanakh	jeremiah	50	33	/israelite-research/tanakh/chapter.html?book=jeremiah&ch=50#v33
10	America (Edomite Extension)	Revelation 18:2–4	FAIL	newtestament	revelation	18	2	None
10	America (Edomite Extension)	Revelation 13:1	FAIL	newtestament	revelation	13	1	None
11	Ammonites	Deuteronomy 23:3	OK	tanakh	deuteronomy	23	3	/israelite-research/tanakh/chapter.html?book=deuteronomy&ch=23#v3
11	Ammonites	Judges 11:4	OK	tanakh	judges	11	4	/israelite-research/tanakh/chapter.html?book=judges&ch=11#v4
12	Amorites	Genesis 15:16	OK	tanakh	genesis	15	16	/israelite-research/tanakh/chapter.html?book=genesis&ch=15#v16
12	Amorites	Deuteronomy 1:44	OK	tanakh	deuteronomy	1	44	/israelite-research/tanakh/chapter.html?book=deuteronomy&ch=1#v44
13	And (Conjunction)	Deuteronomy 28:1–2	OK	tanakh	deuteronomy	28	1	/israelite-research/tanakh/chapter.html?book=deuteronomy&ch=28#v1
13	And (Conjunction)	James 2:17	OK	new-testament	james	2	17	/israelite-research/new-testament/chapter.html?book=james&ch=2#v17
13	And (Conjunction)	John 14:15	FAIL	newtestament	john	14	15	None
14	Angels (Malakim)	Genesis 18:2	OK	tanakh	genesis	18	2	/israelite-research/tanakh/chapter.html?book=genesis&ch=18#v2
14	Angels (Malakim)	Exodus 23:20–23	OK	tanakh	exodus	23	20	/israelite-research/tanakh/chapter.html?book=exodus&ch=23#v20
14	Angels (Malakim)	Psalm 91:11–12	OK	tanakh	psalms	91	11	/israelite-research/tanakh/chapter.html?book=psalms&ch=91#v11
14	Angels (Malakim)	Daniel 9:21	OK	tanakh	daniel	9	21	/israelite-research/tanakh/chapter.html?book=daniel&ch=9#v21
15	Appeal to Authority	Acts 17:11	OK	new-testament	acts	17	11	/israelite-research/new-testament/chapter.html?book=acts&ch=17#v11
15	Appeal to Authority	1 Thessalonians 5:21	OK	new-testament	1-thessalonians	5	21	/israelite-research/new-testament/chapter.html?book=1-thessalonians&ch=5#v21
16	Appeal to Popularity (Ad Populum)	Exodus 23:2	OK	tanakh	exodus	23	2	/israelite-research/tanakh/chapter.html?book=exodus&ch=23#v2
16	Appeal to Popularity (Ad Populum)	Romans 3:4	OK	new-testament	romans	3	4	/israelite-research/new-testament/chapter.html?book=romans&ch=3#v4
17	Arabians	1 Kings 10:15	OK	tanakh	1-kings	10	15	/israelite-research/tanakh/chapter.html?book=1-kings&ch=10#v15
17	Arabians	Isaiah 21:13	OK	tanakh	isaiah	21	13	/israelite-research/tanakh/chapter.html?book=isaiah&ch=21#v13
18	Arabs (Ishmaelites)	Genesis 25:13	OK	tanakh	genesis	25	13	/israelite-research/tanakh/chapter.html?book=genesis&ch=25#v13
18	Arabs (Ishmaelites)	Psalm 83:6	OK	tanakh	psalm	83	6	/israelite-research/tanakh/chapter.html?book=psalm&ch=83#v6
19	Archangel (Michael)	Daniel 10:13	OK	tanakh	daniel	10	13	/israelite-research/tanakh/chapter.html?book=daniel&ch=10#v13
19	Archangel (Michael)	Daniel 12:1	OK	tanakh	daniel	12	1	/israelite-research/tanakh/chapter.html?book=daniel&ch=12#v1
20	Argument	Acts 17:2–3	OK	new-testament	acts	17	2	/israelite-research/new-testament/chapter.html?book=acts&ch=17#v2
20	Argument	Isaiah 41:21	OK	tanakh	isaiah	41	21	/israelite-research/tanakh/chapter.html?book=isaiah&ch=41#v21
20	Argument	1 Peter 3:15	OK	new-testament	1-peter	3	15	/israelite-research/new-testament/chapter.html?book=1-peter&ch=3#v15
21	Ashkenaz	Genesis 10:3	OK	tanakh	genesis	10	3	/israelite-research/tanakh/chapter.html?book=genesis&ch=10#v3
21	Ashkenaz	Jeremiah 51:27	OK	tanakh	jeremiah	51	27	/israelite-research/tanakh/chapter.html?book=jeremiah&ch=51#v27
22	Ass / Donkey	Zechariah 9:9	OK	tanakh	zechariah	9	9	/israelite-research/tanakh/chapter.html?book=zechariah&ch=9#v9
22	Ass / Donkey	Matthew 21:5	FAIL	newtestament	matthew	21	5	None
23	Assyrians	2 Kings 17:6	OK	tanakh	2-kings	17	6	/israelite-research/tanakh/chapter.html?book=2-kings&ch=17#v6
23	Assyrians	Isaiah 10:5	OK	tanakh	isaiah	10	5	/israelite-research/tanakh/chapter.html?book=isaiah&ch=10#v5
24	Bear (Daniel’s Vision)	Daniel 7:5	OK	tanakh	daniel	7	5	/israelite-research/tanakh/chapter.html?book=daniel&ch=7#v5
25	Beast (Symbolic)	Daniel 7:3	OK	tanakh	daniel	7	3	/israelite-research/tanakh/chapter.html?book=daniel&ch=7#v3
25	Beast (Symbolic)	Revelation 13:2	FAIL	newtestament	revelation	13	2	None
26	Behemoth	Job 40:15–24	OK	tanakh	job	40	15	/israelite-research/tanakh/chapter.html?book=job&ch=40#v15
27	Berbers	Ezekiel 30:5	OK	tanakh	ezekiel	30	5	/israelite-research/tanakh/chapter.html?book=ezekiel&ch=30#v5
28	Bethlehem	Micah 5:2	OK	tanakh	micah	5	2	/israelite-research/tanakh/chapter.html?book=micah&ch=5#v2
28	Bethlehem	Matthew 2:1	FAIL	newtestament	matthew	2	1	None
29	Black	Song of Solomon 1:5	OK	tanakh	song-of-solomon	1	5	/israelite-research/tanakh/chapter.html?book=song-of-solomon&ch=1#v5
29	Black	Lamentations 5:10	OK	tanakh	lamentations	5	10	/israelite-research/tanakh/chapter.html?book=lamentations&ch=5#v10
30	Bozrah (of Edom)	Isaiah 63:1	OK	tanakh	isaiah	63	1	/israelite-research/tanakh/chapter.html?book=isaiah&ch=63#v1
30	Bozrah (of Edom)	Jeremiah 49:13,22	OK	tanakh	jeremiah	49	13	/israelite-research/tanakh/chapter.html?book=jeremiah&ch=49#v13
31	Britain (Edomite Dominion)	Isaiah 24:15	OK	tanakh	isaiah	24	15	/israelite-research/tanakh/chapter.html?book=isaiah&ch=24#v15
31	Britain (Edomite Dominion)	Isaiah 49:1	OK	tanakh	isaiah	49	1	/israelite-research/tanakh/chapter.html?book=isaiah&ch=49#v1
31	Britain (Edomite Dominion)	Revelation 18:3	FAIL	newtestament	revelation	18	3	None
32	Bronze	Revelation 1:15	OK	tanakh	revelation	1	15	/israelite-research/tanakh/chapter.html?book=revelation&ch=1#v15
32	Bronze	Ezekiel 1:7	OK	tanakh	ezekiel	1	7	/israelite-research/tanakh/chapter.html?book=ezekiel&ch=1#v7
33	Bronze Mirror	Exodus 38:8	OK	tanakh	exodus	38	8	/israelite-research/tanakh/chapter.html?book=exodus&ch=38#v8
34	Brown	Genesis 2:7	OK	tanakh	genesis	2	7	/israelite-research/tanakh/chapter.html?book=genesis&ch=2#v7
35	Burnished	Daniel 10:6	OK	tanakh	daniel	10	6	/israelite-research/tanakh/chapter.html?book=daniel&ch=10#v6
35	Burnished	Revelation 1:15	OK	tanakh	revelation	1	15	/israelite-research/tanakh/chapter.html?book=revelation&ch=1#v15
36	Camel	Genesis 24:10–11	OK	tanakh	genesis	24	10	/israelite-research/tanakh/chapter.html?book=genesis&ch=24#v10
36	Camel	Matthew 19:24	FAIL	newtestament	matthew	19	24	None
37	Canaanites	Genesis 9:18	OK	tanakh	genesis	9	18	/israelite-research/tanakh/chapter.html?book=genesis&ch=9#v18
37	Canaanites	Genesis 10:15	OK	tanakh	genesis	10	15	/israelite-research/tanakh/chapter.html?book=genesis&ch=10#v15
38	Capernaum	Matthew 4:13	FAIL	newtestament	matthew	4	13	None
38	Capernaum	Mark 2:1	FAIL	newtestament	mark	2	1	None
39	Captivity	Deuteronomy 30:3	OK	tanakh	deuteronomy	30	3	/israelite-research/tanakh/chapter.html?book=deuteronomy&ch=30#v3
39	Captivity	Psalm 137:1	OK	tanakh	psalms	137	1	/israelite-research/tanakh/chapter.html?book=psalms&ch=137#v1
40	Chaldeans / Babylonians	2 Kings 25:8	OK	tanakh	2-kings	25	8	/israelite-research/tanakh/chapter.html?book=2-kings&ch=25#v8
40	Chaldeans / Babylonians	Daniel 1:1	OK	tanakh	daniel	1	1	/israelite-research/tanakh/chapter.html?book=daniel&ch=1#v1
41	Cherubim	Genesis 3:24	OK	tanakh	genesis	3	24	/israelite-research/tanakh/chapter.html?book=genesis&ch=3#v24
41	Cherubim	Exodus 25:18–22	OK	tanakh	exodus	25	18	/israelite-research/tanakh/chapter.html?book=exodus&ch=25#v18
41	Cherubim	Ezekiel 10:1–5	OK	tanakh	ezekiel	10	1	/israelite-research/tanakh/chapter.html?book=ezekiel&ch=10#v1
42	Circular Reasoning (Begging the Question)	1 Peter 3:15	OK	new-testament	1-peter	3	15	/israelite-research/new-testament/chapter.html?book=1-peter&ch=3#v15
42	Circular Reasoning (Begging the Question)	Proverbs 26:4–5	OK	tanakh	proverbs	26	4	/israelite-research/tanakh/chapter.html?book=proverbs&ch=26#v4
43	Clean Animals	Leviticus 11:1–8	OK	tanakh	leviticus	11	1	/israelite-research/tanakh/chapter.html?book=leviticus&ch=11#v1
43	Clean Animals	Deuteronomy 14:4–8	OK	tanakh	deuteronomy	14	4	/israelite-research/tanakh/chapter.html?book=deuteronomy&ch=14#v4
44	Clouds	Exodus 13:21	OK	tanakh	exodus	13	21	/israelite-research/tanakh/chapter.html?book=exodus&ch=13#v21
44	Clouds	1 Kings 8:10–11	OK	tanakh	1-kings	8	10	/israelite-research/tanakh/chapter.html?book=1-kings&ch=8#v10
44	Clouds	Psalm 104:3	OK	tanakh	psalms	104	3	/israelite-research/tanakh/chapter.html?book=psalms&ch=104#v3
44	Clouds	Matthew 24:30	FAIL	newtestament	matthew	24	30	None
45	Colonialism	Habakkuk 2:12	OK	tanakh	habakkuk	2	12	/israelite-research/tanakh/chapter.html?book=habakkuk&ch=2#v12
45	Colonialism	Revelation 18:3	FAIL	newtestament	revelation	18	3	None
46	Color	Genesis 1:26	OK	tanakh	genesis	1	26	/israelite-research/tanakh/chapter.html?book=genesis&ch=1#v26
47	Complexion	Genesis 2:7	OK	tanakh	genesis	2	7	/israelite-research/tanakh/chapter.html?book=genesis&ch=2#v7
48	Conditional Statement	Deuteronomy 28:15	OK	tanakh	deuteronomy	28	15	/israelite-research/tanakh/chapter.html?book=deuteronomy&ch=28#v15
48	Conditional Statement	Galatians 6:7–8	OK	new-testament	galatians	6	7	/israelite-research/new-testament/chapter.html?book=galatians&ch=6#v7
48	Conditional Statement	Romans 6:23	OK	new-testament	romans	6	23	/israelite-research/new-testament/chapter.html?book=romans&ch=6#v23
49	Converse	Matthew 7:21–23	FAIL	newtestament	matthew	7	21	None
49	Converse	James 2:19	OK	new-testament	james	2	19	/israelite-research/new-testament/chapter.html?book=james&ch=2#v19
49	Converse	1 John 2:4	OK	new-testament	1-john	2	4	/israelite-research/new-testament/chapter.html?book=1-john&ch=2#v4
50	Copper-colored	Daniel 10:6	OK	tanakh	daniel	10	6	/israelite-research/tanakh/chapter.html?book=daniel&ch=10#v6
51	Copts	Isaiah 19:25	OK	tanakh	isaiah	19	25	/israelite-research/tanakh/chapter.html?book=isaiah&ch=19#v25
52	Cylinder Seal	Genesis 38:18	OK	tanakh	genesis	38	18	/israelite-research/tanakh/chapter.html?book=genesis&ch=38#v18
52	Cylinder Seal	Haggai 2:23	OK	tanakh	haggai	2	23	/israelite-research/tanakh/chapter.html?book=haggai&ch=2#v23
53	Damascus	Isaiah 17:1	OK	tanakh	isaiah	17	1	/israelite-research/tanakh/chapter.html?book=isaiah&ch=17#v1
53	Damascus	Acts 9:3	FAIL	newtestament	acts	9	3	None
54	Deductive Reasoning	Matthew 7:17–18	FAIL	newtestament	matthew	7	17	None
54	Deductive Reasoning	Numbers 23:19	OK	tanakh	numbers	23	19	/israelite-research/tanakh/chapter.html?book=numbers&ch=23#v19
54	Deductive Reasoning	James 2:17–18	OK	new-testament	james	2	17	/israelite-research/new-testament/chapter.html?book=james&ch=2#v17
55	Diaspora	Deuteronomy 28:64	OK	tanakh	deuteronomy	28	64	/israelite-research/tanakh/chapter.html?book=deuteronomy&ch=28#v64
55	Diaspora	James 1:1	OK	new-testament	james	1	1	/israelite-research/new-testament/chapter.html?book=james&ch=1#v1
56	Dove	Genesis 8:11	OK	tanakh	genesis	8	11	/israelite-research/tanakh/chapter.html?book=genesis&ch=8#v11
56	Dove	Matthew 3:16	FAIL	newtestament	matthew	3	16	None
57	Dreadful Beast (Daniel’s Vision)	Daniel 7:7	OK	tanakh	daniel	7	7	/israelite-research/tanakh/chapter.html?book=daniel&ch=7#v7
57	Dreadful Beast (Daniel’s Vision)	Revelation 13:1–2	FAIL	newtestament	revelation	13	1	None
59	Dust-colored	Genesis 2:7	OK	tanakh	genesis	2	7	/israelite-research/tanakh/chapter.html?book=genesis&ch=2#v7
60	Eagle	Exodus 19:4	OK	tanakh	exodus	19	4	/israelite-research/tanakh/chapter.html?book=exodus&ch=19#v4
60	Eagle	Isaiah 40:31	OK	tanakh	isaiah	40	31	/israelite-research/tanakh/chapter.html?book=isaiah&ch=40#v31
61	Earth	Genesis 1:1–10	OK	tanakh	genesis	1	1	/israelite-research/tanakh/chapter.html?book=genesis&ch=1#v1
61	Earth	Psalm 24:1–2	OK	tanakh	psalms	24	1	/israelite-research/tanakh/chapter.html?book=psalms&ch=24#v1
61	Earth	Isaiah 45:18	OK	tanakh	isaiah	45	18	/israelite-research/tanakh/chapter.html?book=isaiah&ch=45#v18
61	Earth	Ecclesiastes 1:4	OK	tanakh	ecclesiastes	1	4	/israelite-research/tanakh/chapter.html?book=ecclesiastes&ch=1#v4
62	Earthen	2 Corinthians 4:7	OK	tanakh	2-corinthians	4	7	/israelite-research/tanakh/chapter.html?book=2-corinthians&ch=4#v7
64	Edom / Idumea	Genesis 36	OK	tanakh	genesis	36		/israelite-research/tanakh/chapter.html?book=genesis&ch=36
64	Edom / Idumea	Obadiah 1:1–4	OK	tanakh	obadiah	1	1	/israelite-research/tanakh/chapter.html?book=obadiah&ch=1#v1
64	Edom / Idumea	Ezekiel 35:2–5	OK	tanakh	ezekiel	35	2	/israelite-research/tanakh/chapter.html?book=ezekiel&ch=35#v2
64	Edom / Idumea	Isaiah 34:5–6	OK	tanakh	isaiah	34	5	/israelite-research/tanakh/chapter.html?book=isaiah&ch=34#v5
64	Edom / Idumea	Malachi 1:4	OK	tanakh	malachi	1	4	/israelite-research/tanakh/chapter.html?book=malachi&ch=1#v4
65	Edomite Continuity (Overview)	Genesis 27:39–40	OK	tanakh	genesis	27	39	/israelite-research/tanakh/chapter.html?book=genesis&ch=27#v39
65	Edomite Continuity (Overview)	Obadiah 1:6–10	OK	tanakh	obadiah	1	6	/israelite-research/tanakh/chapter.html?book=obadiah&ch=1#v6
65	Edomite Continuity (Overview)	Daniel 7:23–25	OK	tanakh	daniel	7	23	/israelite-research/tanakh/chapter.html?book=daniel&ch=7#v23
65	Edomite Continuity (Overview)	Revelation 17:9–13	FAIL	newtestament	revelation	17	9	None
66	Edomites	Genesis 36:8–9	OK	tanakh	genesis	36	8	/israelite-research/tanakh/chapter.html?book=genesis&ch=36#v8
66	Edomites	Obadiah 1:10	OK	tanakh	obadiah	1	10	/israelite-research/tanakh/chapter.html?book=obadiah&ch=1#v10
67	Egyptians (Mizraim)	Genesis 12:10	OK	tanakh	genesis	12	10	/israelite-research/tanakh/chapter.html?book=genesis&ch=12#v10
67	Egyptians (Mizraim)	Exodus 1:11	OK	tanakh	exodus	1	11	/israelite-research/tanakh/chapter.html?book=exodus&ch=1#v11
68	Egyptians (Mizraim)	Genesis 10:6	OK	tanakh	genesis	10	6	/israelite-research/tanakh/chapter.html?book=genesis&ch=10#v6
68	Egyptians (Mizraim)	Exodus 1:8-14	OK	tanakh	exodus	1	8	/israelite-research/tanakh/chapter.html?book=exodus&ch=1#v8
69	Esau	Genesis 25:25–34	OK	tanakh	genesis	25	25	/israelite-research/tanakh/chapter.html?book=genesis&ch=25#v25
69	Esau	Genesis 27:39–40	OK	tanakh	genesis	27	39	/israelite-research/tanakh/chapter.html?book=genesis&ch=27#v39
69	Esau	Obadiah 1:6–9	OK	tanakh	obadiah	1	6	/israelite-research/tanakh/chapter.html?book=obadiah&ch=1#v6
69	Esau	Malachi 1:2–4	OK	tanakh	malachi	1	2	/israelite-research/tanakh/chapter.html?book=malachi&ch=1#v2
70	Ethiopians	Isaiah 18:1–2	OK	tanakh	isaiah	18	1	/israelite-research/tanakh/chapter.html?book=isaiah&ch=18#v1
70	Ethiopians	Jeremiah 13:23	OK	tanakh	jeremiah	13	23	/israelite-research/tanakh/chapter.html?book=jeremiah&ch=13#v23
71	Ethiopians (Aithiopes)	Jeremiah 38:7	OK	tanakh	jeremiah	38	7	/israelite-research/tanakh/chapter.html?book=jeremiah&ch=38#v7
71	Ethiopians (Aithiopes)	Amos 9:7	OK	tanakh	amos	9	7	/israelite-research/tanakh/chapter.html?book=amos&ch=9#v7
72	Europe (Edomite Confederation)	Daniel 7:24	OK	tanakh	daniel	7	24	/israelite-research/tanakh/chapter.html?book=daniel&ch=7#v24
72	Europe (Edomite Confederation)	Revelation 12:3	FAIL	newtestament	revelation	12	3	None
72	Europe (Edomite Confederation)	Revelation 17:12–13	FAIL	newtestament	revelation	17	12	None
73	Fair	Song of Solomon 4:7	OK	tanakh	song-of-solomon	4	7	/israelite-research/tanakh/chapter.html?book=song-of-solomon&ch=4#v7
74	Fallacy	Proverbs 14:15	OK	tanakh	proverbs	14	15	/israelite-research/tanakh/chapter.html?book=proverbs&ch=14#v15
74	Fallacy	Proverbs 18:13	OK	tanakh	proverbs	18	13	/israelite-research/tanakh/chapter.html?book=proverbs&ch=18#v13
74	Fallacy	Colossians 2:8	OK	new-testament	colossians	2	8	/israelite-research/new-testament/chapter.html?book=colossians&ch=2#v8
75	False Dichotomy	Mark 12:17	FAIL	newtestament	mark	12	17	None
75	False Dichotomy	Matthew 22:21	FAIL	newtestament	matthew	22	21	None
76	Firmament / Heaven	Genesis 1:6–8	OK	tanakh	genesis	1	6	/israelite-research/tanakh/chapter.html?book=genesis&ch=1#v6
76	Firmament / Heaven	Psalm 19:1	OK	tanakh	psalms	19	1	/israelite-research/tanakh/chapter.html?book=psalms&ch=19#v1
76	Firmament / Heaven	Ezekiel 1:22–26	OK	tanakh	ezekiel	1	22	/israelite-research/tanakh/chapter.html?book=ezekiel&ch=1#v22
76	Firmament / Heaven	Revelation 4:1–3	FAIL	newtestament	revelation	4	1	None
77	Galilee	Matthew 4:23	FAIL	newtestament	matthew	4	23	None
77	Galilee	Acts 1:11	FAIL	newtestament	acts	1	11	None
78	Galilee of the Gentiles	Isaiah 9:1–2	OK	tanakh	isaiah	9	1	/israelite-research/tanakh/chapter.html?book=isaiah&ch=9#v1
78	Galilee of the Gentiles	Matthew 4:15	FAIL	newtestament	matthew	4	15	None
78	Galilee of the Gentiles	John 7:35	FAIL	newtestament	john	7	35	None
79	Gentile	Genesis 35:11	OK	tanakh	genesis	35	11	/israelite-research/tanakh/chapter.html?book=genesis&ch=35#v11
79	Gentile	Exodus 19:6	OK	tanakh	exodus	19	6	/israelite-research/tanakh/chapter.html?book=exodus&ch=19#v6
79	Gentile	John 7:35	FAIL	newtestament	john	7	35	None
79	Gentile	John 11:51	FAIL	newtestament	john	11	51	None
79	Gentile	Exodus 19:6	OK	tanakh	exodus	19	6	/israelite-research/tanakh/chapter.html?book=exodus&ch=19#v6
79	Gentile	Luke 7:5	FAIL	newtestament	luke	7	5	None
80	Gentiles	Genesis 35:11	OK	tanakh	genesis	35	11	/israelite-research/tanakh/chapter.html?book=genesis&ch=35#v11
80	Gentiles	Exodus 19:6	OK	tanakh	exodus	19	6	/israelite-research/tanakh/chapter.html?book=exodus&ch=19#v6
80	Gentiles	John 11:51	FAIL	newtestament	john	11	51	None
80	Gentiles	Genesis 12:2	OK	tanakh	genesis	12	2	/israelite-research/tanakh/chapter.html?book=genesis&ch=12#v2
80	Gentiles	Exodus 19:6	OK	tanakh	exodus	19	6	/israelite-research/tanakh/chapter.html?book=exodus&ch=19#v6
80	Gentiles	Luke 7:5	FAIL	newtestament	luke	7	5	None
80	Gentiles	John 11:51–52	FAIL	newtestament	john	11	51	None
80	Gentiles	1 Peter 2:9	FAIL	newtestament	1-peter	2	9	None
80	Gentiles	Romans 9:24–26	FAIL	newtestament	romans	9	24	None
81	Girgashites	Genesis 15:21	OK	tanakh	genesis	15	21	/israelite-research/tanakh/chapter.html?book=genesis&ch=15#v21
81	Girgashites	Deuteronomy 7:1	OK	tanakh	deuteronomy	7	1	/israelite-research/tanakh/chapter.html?book=deuteronomy&ch=7#v1
82	Goat	Leviticus 16:10	OK	tanakh	leviticus	16	10	/israelite-research/tanakh/chapter.html?book=leviticus&ch=16#v10
82	Goat	Proverbs 27:27	OK	tanakh	proverbs	27	27	/israelite-research/tanakh/chapter.html?book=proverbs&ch=27#v27
83	Greeks / Hellenes	John 12:20	FAIL	newtestament	john	12	20	None
83	Greeks / Hellenes	Galatians 3:28	OK	tanakh	galatians	3	28	/israelite-research/tanakh/chapter.html?book=galatians&ch=3#v28
84	Ham	Genesis 5:32	OK	tanakh	genesis	5	32	/israelite-research/tanakh/chapter.html?book=genesis&ch=5#v32
84	Ham	Genesis 7:13	OK	tanakh	genesis	7	13	/israelite-research/tanakh/chapter.html?book=genesis&ch=7#v13
84	Ham	Genesis 9:18–25	OK	tanakh	genesis	9	18	/israelite-research/tanakh/chapter.html?book=genesis&ch=9#v18
84	Ham	Genesis 10:6–20	OK	tanakh	genesis	10	6	/israelite-research/tanakh/chapter.html?book=genesis&ch=10#v6
85	Hasty Generalization	Deuteronomy 19:15	OK	tanakh	deuteronomy	19	15	/israelite-research/tanakh/chapter.html?book=deuteronomy&ch=19#v15
85	Hasty Generalization	Proverbs 18:17	OK	tanakh	proverbs	18	17	/israelite-research/tanakh/chapter.html?book=proverbs&ch=18#v17
86	He-Goat (Daniel’s Vision)	Daniel 8:5–8	OK	tanakh	daniel	8	5	/israelite-research/tanakh/chapter.html?book=daniel&ch=8#v5
87	Heavens (Threefold Structure)	Deuteronomy 10:14	OK	tanakh	deuteronomy	10	14	/israelite-research/tanakh/chapter.html?book=deuteronomy&ch=10#v14
87	Heavens (Threefold Structure)	1 Kings 8:27	OK	tanakh	1-kings	8	27	/israelite-research/tanakh/chapter.html?book=1-kings&ch=8#v27
87	Heavens (Threefold Structure)	2 Corinthians 12:2	OK	new-testament	2-corinthians	12	2	/israelite-research/new-testament/chapter.html?book=2-corinthians&ch=12#v2
87	Heavens (Threefold Structure)	Psalm 19:1	OK	tanakh	psalms	19	1	/israelite-research/tanakh/chapter.html?book=psalms&ch=19#v1
88	Hebrews	Genesis 14:13	OK	tanakh	genesis	14	13	/israelite-research/tanakh/chapter.html?book=genesis&ch=14#v13
88	Hebrews	Exodus 2:11	OK	tanakh	exodus	2	11	/israelite-research/tanakh/chapter.html?book=exodus&ch=2#v11
89	Hebron	Genesis 13:18	OK	tanakh	genesis	13	18	/israelite-research/tanakh/chapter.html?book=genesis&ch=13#v18
89	Hebron	Numbers 13:22	OK	tanakh	numbers	13	22	/israelite-research/tanakh/chapter.html?book=numbers&ch=13#v22
90	Herod the Idumean	Matthew 2:1–16	FAIL	newtestament	matthew	2	1	None
90	Herod the Idumean	Luke 1:5	OK	new-testament	luke	1	5	/israelite-research/new-testament/chapter.html?book=luke&ch=1#v5
90	Herod the Idumean	Genesis 27:39–40	OK	tanakh	genesis	27	39	/israelite-research/tanakh/chapter.html?book=genesis&ch=27#v39
90	Herod the Idumean	Obadiah 1:10	OK	tanakh	obadiah	1	10	/israelite-research/tanakh/chapter.html?book=obadiah&ch=1#v10
91	Herodians (Idumean dynasty)	Mark 3:6	FAIL	newtestament	mark	3	6	None
91	Herodians (Idumean dynasty)	Matthew 22:16	FAIL	newtestament	matthew	22	16	None
92	Hittites	Genesis 23:3–20	OK	tanakh	genesis	23	3	/israelite-research/tanakh/chapter.html?book=genesis&ch=23#v3
92	Hittites	Joshua 1:4	OK	tanakh	joshua	1	4	/israelite-research/tanakh/chapter.html?book=joshua&ch=1#v4
93	Hivites	Genesis 34:2	OK	tanakh	genesis	34	2	/israelite-research/tanakh/chapter.html?book=genesis&ch=34#v2
